2026-04-29 04:00:00|INFO    |root                            |BAZARR All existing movie subtitles indexed from disk.|
2026-04-29 04:00:01|INFO    |root                            |BAZARR All existing episode subtitles indexed from disk.|
2026-04-29 05:03:14|INFO    |root                            |BAZARR Finished searching for missing Movies Subtitles. Check History for more information.|
2026-04-29 05:24:27|INFO    |root                            |BAZARR Finished searching for missing Series Subtitles. Check History for more information.|
2026-04-29 11:00:40|WARNING |apscheduler.executors.default   |Run time of job "Sync with Radarr (trigger: interval[1:00:00], next run at: 2026-04-29 11:35:54 BST)" was missed by 0:24:45.824388|
2026-04-29 11:00:40|WARNING |apscheduler.executors.default   |Run time of job "Sync with Sonarr (trigger: interval[1:00:00], next run at: 2026-04-29 11:35:54 BST)" was missed by 0:24:45.814880|
2026-04-29 11:03:14|INFO    |root                            |BAZARR Finished searching for missing Movies Subtitles. Check History for more information.|
2026-04-29 11:12:58|INFO    |root                            |BAZARR Finished searching for Subtitles to upgrade. Check History for more information.|
2026-04-29 11:12:59|INFO    |root                            |Using podnapisi again after 10 minutes, (disabled because: ConnectionError)|
2026-04-29 11:12:59|INFO    |root                            |Using opensubtitlescom again after 6 hours, (disabled because: DownloadLimitExceeded)|
2026-04-29 11:12:59|INFO    |root                            |Throttling podnapisi for 10 minutes, until 26/04/29 11:22, because of: ConnectionError. Exception info: "'HTTPSConnectionPool(host='podnapisi.net', port=443): Max retries exceeded with ' ~ podnapisi.py@207"|
2026-04-29 11:12:59|INFO    |root                            |Throttling podnapisi for 10 minutes, until 26/04/29 11:22, because of: ConnectionError. Exception info: "'HTTPSConnectionPool(host='podnapisi.net', port=443): Max retries exceeded with ' ~ podnapisi.py@207"|
2026-04-29 11:12:59|INFO    |root                            |Provider opensubtitlescom throttle count 1 of 5, waiting 5sec and trying again|
2026-04-29 11:24:27|INFO    |root                            |BAZARR Finished searching for missing Series Subtitles. Check History for more information.|
2026-04-29 18:26:47|WARNING |apscheduler.executors.default   |Run time of job "Sync with Radarr (trigger: interval[1:00:00], next run at: 2026-04-29 18:35:54 BST)" was missed by 0:50:52.940138|
2026-04-29 18:26:47|WARNING |apscheduler.executors.default   |Run time of job "Sync with Sonarr (trigger: interval[1:00:00], next run at: 2026-04-29 18:35:54 BST)" was missed by 0:50:52.931389|
2026-04-29 18:26:47|WARNING |apscheduler.executors.default   |Run time of job "Update Release Info (trigger: interval[3:00:00], next run at: 2026-04-29 20:16:57 BST)" was missed by 1:09:49.593222|
2026-04-29 18:26:47|WARNING |apscheduler.executors.default   |Run time of job "Search for Missing Movies Subtitles (trigger: interval[6:00:00], next run at: 2026-04-29 23:03:14 BST)" was missed by 1:23:32.593364|
2026-04-29 18:26:47|WARNING |apscheduler.executors.default   |Run time of job "Search for Missing Series Subtitles (trigger: interval[6:00:00], next run at: 2026-04-29 23:24:27 BST)" was missed by 1:02:19.594097|
2026-04-29 18:26:47|WARNING |apscheduler.executors.default   |Run time of job "Update Announcements File (trigger: interval[6:00:00], next run at: 2026-04-29 23:29:01 BST)" was missed by 0:57:45.594984|
2026-04-29 18:26:47|WARNING |apscheduler.executors.default   |Run time of job "Check Health (trigger: interval[6:00:00], next run at: 2026-04-29 23:33:42 BST)" was missed by 0:53:04.596299|
2026-04-29 23:03:14|INFO    |root                            |BAZARR Finished searching for missing Movies Subtitles. Check History for more information.|
2026-04-29 23:12:58|INFO    |root                            |BAZARR Finished searching for Subtitles to upgrade. Check History for more information.|
2026-04-29 23:12:58|INFO    |root                            |Using podnapisi again after 10 minutes, (disabled because: ConnectionError)|
2026-04-29 23:12:59|INFO    |root                            |Throttling podnapisi for 10 minutes, until 26/04/29 23:22, because of: ConnectionError. Exception info: "'HTTPSConnectionPool(host='podnapisi.net', port=443): Max retries exceeded with ' ~ podnapisi.py@207"|
2026-04-29 23:24:27|INFO    |root                            |BAZARR Finished searching for missing Series Subtitles. Check History for more information.|
